"Time","to-endpoint","to-overlay","to-stack"
2023-03-11 09:30:00,50.5,11.4,29.5
2023-03-11 09:32:00,52.0,12.2,29.4
2023-03-11 09:34:00,52.0,11.1,29.6
2023-03-11 09:36:00,50.2,12.1,29.3
2023-03-11 09:38:00,51.2,11.3,29.7
2023-03-11 09:40:00,51.3,11.5,30
2023-03-11 09:42:00,69.9,35.4,29.9
2023-03-11 09:44:00,52.5,11.7,30.1
2023-03-11 09:46:00,51.1,12.1,29.6
2023-03-11 09:48:00,51.4,11.7,29.7
2023-03-11 09:50:00,50.6,10.9,29.7
2023-03-11 09:52:00,79.6,58.0,29.5
2023-03-11 09:54:00,52.1,11.5,29.9
2023-03-11 09:56:00,51.1,11.9,29.8
2023-03-11 09:58:00,50.8,11.5,29.5
2023-03-11 10:00:00,50.5,11.4,29.8
2023-03-11 10:02:00,88.4,79.0,29.5
2023-03-11 10:04:00,51.8,11.2,29.6
2023-03-11 10:06:00,50.3,11.7,29.4
2023-03-11 10:08:00,50.3,11.0,29.3
2023-03-11 10:10:00,50.4,11.0,29.6
2023-03-11 10:12:00,94.4,101,29.5
2023-03-11 10:14:00,51.0,11,29.3
2023-03-11 10:16:00,51.3,12.2,29.7
2023-03-11 10:18:00,51.3,11.2,29.6
2023-03-11 10:20:00,51.3,11.5,29.9
2023-03-11 10:22:00,95.9,103,29.7
2023-03-11 10:24:00,51.9,11.3,29.9
2023-03-11 10:26:00,51.9,12.5,29.9
2023-03-11 10:28:00,51.3,11.6,29.8
2023-03-11 10:30:00,50.6,11.7,29.7
2023-03-11 10:32:00,79.5,86.4,29.6
2023-03-11 10:34:00,51.4,10.9,29.7
2023-03-11 10:36:00,51.0,11.9,29.6
2023-03-11 10:38:00,50.1,11.3,29.2
2023-03-11 10:40:00,50.3,11.3,29.6
2023-03-11 10:42:00,72.5,69.1,29.6
2023-03-11 10:44:00,53.0,12.2,29.9
2023-03-11 10:46:00,51.2,12.3,29.8
2023-03-11 10:48:00,50.3,11.4,29.3
2023-03-11 10:50:00,50.2,11.4,29.5
2023-03-11 10:52:00,62.7,47.2,29.4
2023-03-11 10:54:00,51.2,11.1,29.3
2023-03-11 10:56:00,51.3,12.3,29.6
2023-03-11 10:58:00,49.8,11.8,29.0
2023-03-11 11:00:00,50.3,11.1,29.2
2023-03-11 11:02:00,55.1,31.4,29.1
2023-03-11 11:04:00,51.2,11.5,29.4
2023-03-11 11:06:00,51.0,12.1,29.5
2023-03-11 11:08:00,49.3,11.5,28.9
2023-03-11 11:10:00,50.2,11.6,29.4
2023-03-11 11:12:00,50.0,17.4,29.0
2023-03-11 11:14:00,52.0,10.7,30.0
2023-03-11 11:16:00,51.6,11.4,29.6
2023-03-11 11:18:00,50.7,11.1,29.6
2023-03-11 11:20:00,51.4,11.0,29.9
2023-03-11 11:22:00,51.4,11.4,29.7
2023-03-11 11:24:00,51.9,10.8,29.8
2023-03-11 11:26:00,51.3,10.9,29.7
2023-03-11 11:28:00,50.7,10.8,29.6
2023-03-11 11:30:00,50.9,10.4,29.6
2023-03-11 11:32:00,51.0,10.6,29.4
2023-03-11 11:34:00,51.6,10.5,29.6
2023-03-11 11:36:00,51.4,11.0,29.8
2023-03-11 11:38:00,50.4,10.6,29.4
2023-03-11 11:40:00,51.3,10.6,29.7
2023-03-11 11:42:00,50.5,10.9,29.2
2023-03-11 11:44:00,52.9,11.7,29.6
2023-03-11 11:46:00,50.4,11.1,29.3
2023-03-11 11:48:00,50.3,10.7,29.3
2023-03-11 11:50:00,50.8,10.9,29.4
2023-03-11 11:52:00,50.7,10.8,29.3
2023-03-11 11:54:00,51.6,10.5,29.7
2023-03-11 11:56:00,50.9,10.6,29.5
2023-03-11 11:58:00,50.2,11.0,29.3
2023-03-11 12:00:00,50.7,10.6,29.6
2023-03-11 12:02:00,50.1,10.8,29.2
2023-03-11 12:04:00,57.2,14.3,29.4
2023-03-11 12:06:00,50.2,10.8,29.1
2023-03-11 12:08:00,49.4,10.8,28.9
2023-03-11 12:10:00,50.1,10.7,29.2
2023-03-11 12:12:00,50.3,10.2,29.5
2023-03-11 12:14:00,70.0,35.2,29.5
2023-03-11 12:16:00,49.6,10.6,28.7
2023-03-11 12:18:00,49.4,11.1,28.9
2023-03-11 12:20:00,50.3,10.5,29.2
2023-03-11 12:22:00,49.7,10.6,29.0
2023-03-11 12:24:00,76.3,53.2,29.2
2023-03-11 12:26:00,49.8,10.7,28.8
2023-03-11 12:28:00,48.8,10.9,28.6
2023-03-11 12:30:00,49.8,11.3,29.2
2023-03-11 12:32:00,48.5,10.4,28.4
2023-03-11 12:34:00,86.1,75.4,29.1
2023-03-11 12:36:00,49.4,10.6,28.7
2023-03-11 12:38:00,50.3,10.3,29.3
2023-03-11 12:40:00,51.7,10.8,29.9
2023-03-11 12:42:00,50.9,10.4,29.6
2023-03-11 12:44:00,99.1,96.2,30.3
2023-03-11 12:46:00,51.5,10.6,29.9
2023-03-11 12:48:00,50.6,9.94,29.6
2023-03-11 12:50:00,51.0,11.0,29.8
2023-03-11 12:52:00,50.5,10.3,29.5
2023-03-11 12:54:00,95.9,102,29.7
2023-03-11 12:56:00,51.3,10.7,29.6
2023-03-11 12:58:00,50.6,10.8,29.5
2023-03-11 13:00:00,50.9,10.6,29.7
2023-03-11 13:02:00,50.2,10.3,29.2
2023-03-11 13:04:00,93.5,100,29.6
2023-03-11 13:06:00,51.0,10.6,29.6
2023-03-11 13:08:00,50.2,9.92,29.2
2023-03-11 13:10:00,50.8,10.6,29.5
2023-03-11 13:12:00,50.2,10.4,29.4
2023-03-11 13:14:00,79.3,84.7,29.5
2023-03-11 13:16:00,51.1,11.8,29.4
2023-03-11 13:18:00,49.9,10.5,29.1
2023-03-11 13:20:00,50.8,11.9,29.6
2023-03-11 13:22:00,49.8,11.3,29.2
2023-03-11 13:24:00,72.0,67.2,29.2
2023-03-11 13:26:00,50.6,12.4,29.3
2023-03-11 13:28:00,49.9,11.8,29.2
2023-03-11 13:30:00,50.7,12.1,29.5
2023-03-11 13:32:00,49.6,11.2,28.9
2023-03-11 13:34:00,65.2,50.9,29.6
2023-03-11 13:36:00,50.9,12.2,29.8
2023-03-11 13:38:00,49.5,11.7,28.8
2023-03-11 13:40:00,50,12.1,29.1
2023-03-11 13:42:00,49.6,11.2,29.0
2023-03-11 13:44:00,59.2,35.8,29.4
2023-03-11 13:46:00,50.2,12.1,29.1
2023-03-11 13:48:00,48.5,11.5,28.4
2023-03-11 13:50:00,49.8,11.7,29
2023-03-11 13:52:00,49,11.6,28.7
2023-03-11 13:54:00,50.7,19.6,29.2
2023-03-11 13:56:00,49.2,12.7,28.6
2023-03-11 13:58:00,48.9,11.6,28.5
2023-03-11 14:00:00,49.6,11.8,29.1
2023-03-11 14:02:00,49.0,11.8,28.7
2023-03-11 14:04:00,50.6,11.4,29
2023-03-11 14:06:00,50.0,12.2,29.0
2023-03-11 14:08:00,48.7,11.8,28.6
2023-03-11 14:10:00,49.8,11.3,29.2
2023-03-11 14:12:00,48.8,11.9,28.7
2023-03-11 14:14:00,50.3,11.5,28.7
2023-03-11 14:16:00,49.4,12.6,28.3
2023-03-11 14:18:00,49.1,11.7,28.6
2023-03-11 14:20:00,49.5,11.6,28.9
2023-03-11 14:22:00,48.7,12.1,28.4
2023-03-11 14:24:00,50.3,11.4,28.9
2023-03-11 14:26:00,50.6,12.5,29.1
2023-03-11 14:28:00,48.7,11.9,28.4
2023-03-11 14:30:00,49.3,11.4,28.8
2023-03-11 14:32:00,48.7,11.4,28.5
2023-03-11 14:34:00,50.4,11.3,28.8
2023-03-11 14:36:00,49.4,12.3,28.6
2023-03-11 14:38:00,48.1,11.1,28.2
2023-03-11 14:40:00,49.2,11.4,28.7
2023-03-11 14:42:00,49.3,11.3,28.8
2023-03-11 14:44:00,51.2,12.3,28.8
2023-03-11 14:46:00,50.9,13.9,28.8
2023-03-11 14:48:00,50.7,11.4,29.5
2023-03-11 14:50:00,51.8,11.5,30.2
2023-03-11 14:52:00,50.8,11.7,29.5
2023-03-11 14:54:00,52.2,11.7,29.8
2023-03-11 14:56:00,66.5,28.7,29.7
2023-03-11 14:58:00,50.9,11.9,29.7
2023-03-11 15:00:00,51.2,11.2,29.7
2023-03-11 15:02:00,50.5,11.6,29.4
2023-03-11 15:04:00,52.0,12.0,29.6
2023-03-11 15:06:00,73.2,43.6,29.5
2023-03-11 15:08:00,51.4,11.4,29.9
2023-03-11 15:10:00,50.4,11.1,29.4
2023-03-11 15:12:00,50.9,12.1,29.5
2023-03-11 15:14:00,52.0,11.7,29.8
2023-03-11 15:16:00,78.3,58.2,29.0
2023-03-11 15:18:00,50.9,11.6,29.6
2023-03-11 15:20:00,50.7,11.7,29.5
2023-03-11 15:22:00,49.9,11.3,29.1
2023-03-11 15:24:00,51.5,11.7,29.2
2023-03-11 15:26:00,84.7,72.1,29.5
2023-03-11 15:28:00,50.4,11.7,29.3
2023-03-11 15:30:00,50.0,11.2,29.3
2023-03-11 15:32:00,50.1,11.7,29.1
2023-03-11 15:34:00,50.6,11.6,29.0
2023-03-11 15:36:00,92.1,88.6,29.1
2023-03-11 15:38:00,50.1,11.8,29.5
2023-03-11 15:40:00,50.1,11.6,29.2
2023-03-11 15:42:00,50.2,11.8,29.4
2023-03-11 15:44:00,52.8,12.7,29.6
2023-03-11 15:46:00,93,101,29.1
2023-03-11 15:48:00,50.1,11.8,29.0
2023-03-11 15:50:00,50.2,11.3,29.1
2023-03-11 15:52:00,49.9,11.6,29.1
2023-03-11 15:54:00,51.0,12.0,29.2
2023-03-11 15:56:00,94.4,104,29.1
2023-03-11 15:58:00,49.5,12.3,29.0
2023-03-11 16:00:00,49.5,11.1,28.9
2023-03-11 16:02:00,49.7,11.5,29.0
2023-03-11 16:04:00,51.3,11.7,29.3
2023-03-11 16:06:00,86.1,98.4,29
2023-03-11 16:08:00,49.1,12.5,28.4
2023-03-11 16:10:00,50.0,11.5,29.2
2023-03-11 16:12:00,49.9,11.1,29.1
2023-03-11 16:14:00,50.1,11.7,28.9
2023-03-11 16:16:00,74.2,79.8,28.8
2023-03-11 16:18:00,49.0,11.6,28.6
2023-03-11 16:20:00,48.8,11.3,28.5
2023-03-11 16:22:00,48.7,11.5,28.4
2023-03-11 16:24:00,50.9,13.0,29.2
2023-03-11 16:26:00,67.2,65.0,28.3
2023-03-11 16:28:00,48.6,12.0,28.4
2023-03-11 16:30:00,49.4,11.9,28.9
2023-03-11 16:32:00,49.4,11.6,28.8
2023-03-11 16:34:00,50.3,11.7,28.9
2023-03-11 16:36:00,62.1,49.5,28.8
2023-03-11 16:38:00,48.9,10.9,28.5
2023-03-11 16:40:00,49.6,12.0,28.9
2023-03-11 16:42:00,48.2,11.5,28.2
2023-03-11 16:44:00,52.4,12.9,29.3
2023-03-11 16:46:00,54.8,34.3,28.9
2023-03-11 16:48:00,48.8,11.2,28.3
2023-03-11 16:50:00,49.7,12.5,29.0
2023-03-11 16:52:00,48.5,11.3,28.4
2023-03-11 16:54:00,49.8,12.2,28.5
2023-03-11 16:56:00,48.9,19.7,28.7
2023-03-11 16:58:00,47.9,10.7,28.0
2023-03-11 17:00:00,49.5,11.0,28.7
2023-03-11 17:02:00,48.6,9.96,28.4
2023-03-11 17:04:00,48.6,10.7,28.2
2023-03-11 17:06:00,48.1,10.6,28.2
2023-03-11 17:08:00,48.0,10.8,28.0
2023-03-11 17:10:00,48.2,11.3,28.3
2023-03-11 17:12:00,48.0,11.2,28.0
2023-03-11 17:14:00,49.2,10.8,28.2
2023-03-11 17:16:00,48,10.8,28.1
2023-03-11 17:18:00,47.5,10.1,27.8
2023-03-11 17:20:00,48.5,11.9,28.1
2023-03-11 17:22:00,47.4,10.1,27.8
2023-03-11 17:24:00,48.6,10.8,28.0
2023-03-11 17:26:00,48.4,11.0,28.3
2023-03-11 17:28:00,47.2,10.9,27.6
2023-03-11 17:30:00,48.6,11.3,28.3
2023-03-11 17:32:00,47.7,10.4,27.7
2023-03-11 17:34:00,48.1,10.8,27.6
2023-03-11 17:36:00,48.1,10.9,27.9
2023-03-11 17:38:00,47,9.88,27.7
2023-03-11 17:40:00,48.0,11.2,28.1
2023-03-11 17:42:00,46.6,10.5,27.3
2023-03-11 17:44:00,49.8,11.8,27.9
2023-03-11 17:46:00,47.4,11.0,27.9
2023-03-11 17:48:00,48.0,10.2,28.0
2023-03-11 17:50:00,48.4,10.8,28.3
2023-03-11 17:52:00,46.6,10.2,27.4
2023-03-11 17:54:00,48.8,10.7,27.9
2023-03-11 17:56:00,47.1,10.6,27.6
2023-03-11 17:58:00,60.3,23.7,27.4
2023-03-11 18:00:00,51.5,10.9,29.9
2023-03-11 18:02:00,51.2,10.7,29.9
2023-03-11 18:04:00,51.8,10.7,29.4
2023-03-11 18:06:00,50.8,11.0,29.5
2023-03-11 18:08:00,70.9,38.0,29.4
2023-03-11 18:10:00,50.8,10.9,29.5
2023-03-11 18:12:00,50.2,10.7,29.4
2023-03-11 18:14:00,52.3,10.2,29.8
2023-03-11 18:16:00,50.8,11.0,29.5
2023-03-11 18:18:00,77.3,53.3,29.6
2023-03-11 18:20:00,51.1,10.4,29.8
2023-03-11 18:22:00,50.2,10.9,29.5
2023-03-11 18:24:00,52.0,10.6,29.6
2023-03-11 18:26:00,50.8,11.7,29.2
2023-03-11 18:28:00,85.5,72.6,29.4
2023-03-11 18:30:00,51.0,10.7,29.7
2023-03-11 18:32:00,50.7,11.0,29.6
2023-03-11 18:34:00,51.8,10.5,29.6
2023-03-11 18:36:00,51.2,11.4,29.6
2023-03-11 18:38:00,89.8,85.2,29.0
2023-03-11 18:40:00,50.5,10.1,29.4
2023-03-11 18:42:00,50.1,10.5,29.1
2023-03-11 18:44:00,52.5,11.5,29.6
2023-03-11 18:46:00,50.5,11.0,29.3
2023-03-11 18:48:00,91.2,98.0,29.0
2023-03-11 18:50:00,51.5,11.8,30.0
2023-03-11 18:52:00,50.0,11.4,29.2
2023-03-11 18:54:00,51.6,11.4,29.1
2023-03-11 18:56:00,50.5,12.5,29.2
2023-03-11 18:58:00,92.6,105,29.0
2023-03-11 19:00:00,50.7,12.0,29.5
2023-03-11 19:02:00,49.8,11.8,29.0
2023-03-11 19:04:00,51.1,11.9,29.0
2023-03-11 19:06:00,49.8,12.5,28.8
2023-03-11 19:08:00,87.4,98.8,28.7
2023-03-11 19:10:00,49.7,11.4,28.9
2023-03-11 19:12:00,49.6,11.1,28.7
2023-03-11 19:14:00,51.3,11.8,28.9
2023-03-11 19:16:00,50.0,12.4,29.1
2023-03-11 19:18:00,75.0,80.1,28.9
2023-03-11 19:20:00,49.8,11.8,29
2023-03-11 19:22:00,49.5,12.0,28.9
2023-03-11 19:24:00,51.3,11.6,29.0
2023-03-11 19:26:00,49.7,12.2,28.9
2023-03-11 19:28:00,69.1,66.0,28.7
2023-03-11 19:30:00,49.3,12.1,28.6
2023-03-11 19:32:00,49,12.1,28.7
2023-03-11 19:34:00,51.5,11.5,29.0
2023-03-11 19:36:00,49.4,12.4,28.8
2023-03-11 19:38:00,60.7,51.2,28.3
2023-03-11 19:40:00,50.0,11.6,29.0
2023-03-11 19:42:00,48.9,12.1,28.5
2023-03-11 19:44:00,51.7,12.6,28.9
2023-03-11 19:46:00,49.3,12.3,28.7
2023-03-11 19:48:00,55.3,37.1,28.3
2023-03-11 19:50:00,49.6,11.7,28.9
2023-03-11 19:52:00,48.0,12.0,28.0
2023-03-11 19:54:00,50.2,12.1,28.8
2023-03-11 19:56:00,49.1,12.3,28.6
2023-03-11 19:58:00,48.3,21.2,28.3
2023-03-11 20:00:00,48.6,11.8,28.2
2023-03-11 20:02:00,48.4,11.6,28.2
2023-03-11 20:04:00,51.1,11.9,28.8
2023-03-11 20:06:00,49.2,12.3,28.2
2023-03-11 20:08:00,48.5,11.9,28.5
2023-03-11 20:10:00,49.0,12.1,28.6
2023-03-11 20:12:00,48.1,12.4,28.2
2023-03-11 20:14:00,50.5,12.0,28.5
2023-03-11 20:16:00,48.1,12.3,28.0
2023-03-11 20:18:00,47.9,12.0,28
2023-03-11 20:20:00,48.2,11.6,28.1
2023-03-11 20:22:00,48.8,12.3,28.3
2023-03-11 20:24:00,50.5,11.5,28.6
2023-03-11 20:26:00,48.1,12.4,28
2023-03-11 20:28:00,48.5,12.2,28.4
2023-03-11 20:30:00,47.9,12.0,27.9
2023-03-11 20:32:00,47.9,11.8,28.1
2023-03-11 20:34:00,50.6,11.7,28.6
2023-03-11 20:36:00,48.0,12.2,27.9
2023-03-11 20:38:00,48.0,11.9,28.2
2023-03-11 20:40:00,47.9,11.9,28.1
2023-03-11 20:42:00,47.6,11.6,28.1
2023-03-11 20:44:00,50.9,12.8,28.4
2023-03-11 20:46:00,48.1,12.4,28.1
2023-03-11 20:48:00,47.5,11.4,27.9
2023-03-11 20:50:00,52.3,14.8,28.0
2023-03-11 20:52:00,48.2,11.5,28.1
2023-03-11 20:54:00,50.0,12.5,28.4
2023-03-11 20:56:00,47.5,12.3,27.8
2023-03-11 20:58:00,48.1,12.0,27.9
2023-03-11 21:00:00,63.8,31.2,27.9
2023-03-11 21:02:00,46.5,11.8,27.2
2023-03-11 21:04:00,48.8,12.3,27.7
2023-03-11 21:06:00,47.2,12.4,27.7
2023-03-11 21:08:00,46.8,11.9,27.5
2023-03-11 21:10:00,71.1,46.5,28.2
2023-03-11 21:12:00,49.1,11.8,28.7
2023-03-11 21:14:00,50.9,12.0,28.9
2023-03-11 21:16:00,48.9,12.7,28.5
2023-03-11 21:18:00,48.3,11.1,28.3
2023-03-11 21:20:00,78.5,62.1,28.4
2023-03-11 21:22:00,48.5,11.6,28.4
2023-03-11 21:24:00,50.8,11.9,28.9
2023-03-11 21:26:00,49.1,12.6,28.5
2023-03-11 21:28:00,48.5,12.9,28.4
2023-03-11 21:30:00,85.7,76.7,28.6
2023-03-11 21:32:00,48.8,11.2,28.3
2023-03-11 21:34:00,50.8,11.6,28.8
2023-03-11 21:36:00,48.7,12.4,28.4
2023-03-11 21:38:00,49.0,11.3,28.6
2023-03-11 21:40:00,91.1,91.5,28.2
2023-03-11 21:42:00,48.2,11.1,28.2
2023-03-11 21:44:00,51.6,12.6,28.5
2023-03-11 21:46:00,48.5,12.7,28.2
2023-03-11 21:48:00,48.0,11.6,28.1
2023-03-11 21:50:00,92.3,102,28.7
2023-03-11 21:52:00,48.3,11.8,28.3
2023-03-11 21:54:00,50.3,12.0,28.5
2023-03-11 21:56:00,48.6,12.8,28.2
2023-03-11 21:58:00,48.5,11.9,28.3
2023-03-11 22:00:00,92.8,104,28.7
2023-03-11 22:02:00,47.8,11.6,28.0
2023-03-11 22:04:00,49.1,11.4,28.0
2023-03-11 22:06:00,48.2,12.8,28.0
2023-03-11 22:08:00,48.2,11.6,28.1
2023-03-11 22:10:00,84.6,98.8,28.5
2023-03-11 22:12:00,47.6,12.0,28.1
2023-03-11 22:14:00,49.6,11.6,28.3
2023-03-11 22:16:00,48.5,12.1,28.3
2023-03-11 22:18:00,48.0,11.4,28.1
2023-03-11 22:20:00,73.8,79.5,28.5
2023-03-11 22:22:00,47.4,11.8,28.0
2023-03-11 22:24:00,49.6,11.8,28.3
2023-03-11 22:26:00,47.8,12.2,27.9
2023-03-11 22:28:00,47.4,11.4,27.9
2023-03-11 22:30:00,66.3,64.1,28.0
2023-03-11 22:32:00,47.4,11.1,27.7
2023-03-11 22:34:00,49.8,11.1,28.3
2023-03-11 22:36:00,47.7,11.5,27.8
2023-03-11 22:38:00,48.0,10.7,27.9
2023-03-11 22:40:00,59.5,47.5,28.2
2023-03-11 22:42:00,47.1,11.3,27.8
2023-03-11 22:44:00,50.5,11.7,28.4
2023-03-11 22:46:00,47.2,11.4,27.8
2023-03-11 22:48:00,49.7,10.7,29.0
2023-03-11 22:50:00,55.5,32.4,29.4
2023-03-11 22:52:00,50.7,11.4,29.5
2023-03-11 22:54:00,52.2,10.7,29.7
2023-03-11 22:56:00,50.4,11.9,29.0
2023-03-11 22:58:00,50.0,11.3,29.0
2023-03-11 23:00:00,50.2,18.6,29.1
2023-03-11 23:02:00,49.8,11.2,29.0
2023-03-11 23:04:00,52.2,11.1,29.5
2023-03-11 23:06:00,50.6,11.5,29.2
2023-03-11 23:08:00,49.7,11.1,29.1
2023-03-11 23:10:00,49.7,11.3,28.8
2023-03-11 23:12:00,49.8,10.9,29.1
2023-03-11 23:14:00,52,10.8,29.4
2023-03-11 23:16:00,49.3,11.2,28.6
2023-03-11 23:18:00,49.8,10.9,29
2023-03-11 23:20:00,50.1,11.0,28.9
2023-03-11 23:22:00,49.2,11.4,28.7
2023-03-11 23:24:00,51.6,11.2,29.3
2023-03-11 23:26:00,50.1,11.1,29.1
2023-03-11 23:28:00,49.6,12.1,28.9
2023-03-11 23:30:00,50.0,10.8,29.1
2023-03-11 23:32:00,49.5,11.0,28.6
2023-03-11 23:34:00,51.7,11.3,29.2
2023-03-11 23:36:00,49.2,11.1,28.3
2023-03-11 23:38:00,48.7,10.7,28.4
2023-03-11 23:40:00,50.6,10.7,29.3
2023-03-11 23:42:00,49.1,10.4,28.7
2023-03-11 23:44:00,52.4,12.0,29.0
2023-03-11 23:46:00,49.4,11.0,28.9
2023-03-11 23:48:00,48.9,10.9,28.4
2023-03-11 23:50:00,49.8,10.7,28.9
2023-03-11 23:52:00,48.5,11.0,28.2
2023-03-11 23:54:00,50.6,11.2,28.7
2023-03-11 23:56:00,49.2,10.8,28.4
2023-03-11 23:58:00,49.1,11.2,28.5
2023-03-12 00:00:00,49.4,10.9,28.8
2023-03-12 00:02:00,62.3,23.5,29.0
2023-03-12 00:04:00,50.6,11.1,28.6
2023-03-12 00:06:00,48.8,11.3,28.2
2023-03-12 00:08:00,48.6,11.0,28.6
2023-03-12 00:10:00,48.7,10.7,28.3
2023-03-12 00:12:00,68.3,38.6,28.4
2023-03-12 00:14:00,49.9,10.4,28.5
2023-03-12 00:16:00,48.6,11.0,28.2
2023-03-12 00:18:00,48.0,10.9,28.1
2023-03-12 00:20:00,48.6,11.7,28.3
2023-03-12 00:22:00,74.2,54.0,27.6
2023-03-12 00:24:00,52.4,11.9,29.8
2023-03-12 00:26:00,51.3,12.8,29.6
