"Time","NOERROR","NXDOMAIN","SERVFAIL"
2023-03-20 13:00:00,0.133,0.192,0
2023-03-20 13:04:00,0.550,0.125,0
2023-03-20 13:08:00,0.175,0.317,0
2023-03-20 13:12:00,0.492,0.158,0
2023-03-20 13:16:00,0.142,0.200,0
2023-03-20 13:20:00,0.125,0.150,0
2023-03-20 13:24:00,0.492,0.167,0
2023-03-20 13:28:00,0.167,0.275,0
2023-03-20 13:32:00,0.133,0.175,0
2023-03-20 13:36:00,0.467,0.0833,0
2023-03-20 13:40:00,0.167,0.300,0
2023-03-20 13:44:00,0.508,0.200,0
2023-03-20 13:48:00,0.192,0.350,0
2023-03-20 13:52:00,0.0917,0.0667,0
2023-03-20 13:56:00,1.06,0.200,0
2023-03-20 14:00:00,0.142,0.208,0
2023-03-20 14:04:00,0.125,0.167,0
2023-03-20 14:08:00,0.533,0.308,0
2023-03-20 14:12:00,0.133,0.175,0
2023-03-20 14:16:00,0.133,0.183,0
2023-03-20 14:20:00,0.508,0.208,0
2023-03-20 14:24:00,0.108,0.108,0
2023-03-20 14:28:00,0.517,0.233,0
2023-03-20 14:32:00,0.125,0.158,0
2023-03-20 14:36:00,0.142,0.200,0
2023-03-20 14:40:00,0.483,0.150,0
2023-03-20 14:44:00,0.125,0.158,0
2023-03-20 14:48:00,0.550,0.333,0
2023-03-20 14:52:00,0.125,0.158,0
2023-03-20 14:56:00,0.108,0.108,0
2023-03-20 15:00:00,0.508,0.208,0
2023-03-20 15:04:00,0.150,0.217,0
2023-03-20 15:08:00,0.150,0.267,0
2023-03-20 15:12:00,0.475,0.100,0
2023-03-20 15:16:00,0.142,0.200,0
2023-03-20 15:20:00,0.508,0.208,0
2023-03-20 15:24:00,0.117,0.142,0
2023-03-20 15:28:00,0.167,0.275,0
2023-03-20 15:32:00,0.483,0.142,0
2023-03-20 15:36:00,0.142,0.200,0
2023-03-20 15:40:00,0.500,0.208,0
2023-03-20 15:44:00,0.108,0.108,0
2023-03-20 15:48:00,0.175,0.317,0
2023-03-20 15:52:00,0.500,0.175,0
2023-03-20 15:56:00,0.133,0.183,0
2023-03-20 16:00:00,0.125,0.150,0
2023-03-20 16:04:00,0.508,0.200,0
2023-03-20 16:08:00,0.167,0.300,0
2023-03-20 16:12:00,0.492,0.158,0
2023-03-20 16:16:00,0.108,0.108,0
2023-03-20 16:20:00,0.150,0.225,0
2023-03-20 16:24:00,0.492,0.167,0
2023-03-20 16:28:00,0.158,0.258,0
2023-03-20 16:32:00,0.108,0.100,0
2023-03-20 16:36:00,0.517,0.217,0
2023-03-20 16:40:00,0.133,0.208,0
2023-03-20 16:44:00,0.125,0.158,0
2023-03-20 16:48:00,0.533,0.275,0
2023-03-20 16:52:00,0.133,0.175,0
2023-03-20 16:56:00,0.508,0.200,0
2023-03-20 17:00:00,0.142,0.208,0
2023-03-20 17:04:00,0.108,0.108,0
2023-03-20 17:08:00,0.542,0.300,0
2023-03-20 17:12:00,0.117,0.158,0
2023-03-20 17:16:00,0.500,0.183,0
2023-03-20 17:20:00,0.117,0.133,0
2023-03-20 17:24:00,0.117,0.150,0
2023-03-20 17:28:00,0.533,0.275,0
2023-03-20 17:32:00,0.133,0.175,0
2023-03-20 17:36:00,0.117,0.125,0
2023-03-20 17:40:00,0.500,0.208,0
2023-03-20 17:44:00,0.142,0.200,0
2023-03-20 17:48:00,0.558,0.350,0
2023-03-20 17:52:00,0.100,0.0833,0
2023-03-20 17:56:00,0.142,0.200,0
2023-03-20 18:00:00,0.517,0.225,0
2023-03-20 18:04:00,0.133,0.183,0
2023-03-20 18:08:00,0.525,0.242,0
2023-03-20 18:12:00,0.125,0.175,0
2023-03-20 18:16:00,0.133,0.183,0
2023-03-20 18:20:00,0.500,0.192,0
2023-03-20 18:24:00,0.100,0.0917,0
2023-03-20 18:28:00,0.167,0.275,0
2023-03-20 18:32:00,0.492,0.158,0
2023-03-20 18:36:00,0.142,0.200,0
2023-03-20 18:40:00,0.483,0.150,0
2023-03-20 18:44:00,0.125,0.167,0
2023-03-20 18:48:00,0.192,0.350,0
2023-03-20 18:52:00,0.500,0.175,0
2023-03-20 18:56:00,0.108,0.108,0
2023-03-20 19:00:00,0.517,0.225,0
2023-03-20 19:04:00,0.142,0.200,0
2023-03-20 19:08:00,0.175,0.300,0
2023-03-20 19:12:00,0.467,0.100,0
2023-03-20 19:16:00,0.150,0.217,0
2023-03-20 19:20:00,0.142,0.208,0
2023-03-20 19:24:00,0.500,0.183,0
2023-03-20 19:28:00,0.133,0.183,0
2023-03-20 19:32:00,0.492,0.158,0
2023-03-20 19:36:00,0.133,0.183,0
2023-03-20 19:40:00,0.150,0.225,0
2023-03-20 19:44:00,0.467,0.108,0
2023-03-20 19:48:00,0.192,0.350,0
2023-03-20 19:52:00,0.492,0.158,0
2023-03-20 19:56:00,0.133,0.183,0
2023-03-20 20:00:00,0.125,0.150,0
2023-03-20 20:04:00,0.508,0.200,0
2023-03-20 20:08:00,0.167,0.283,0
2023-03-20 20:12:00,0.125,0.175,0
2023-03-20 20:16:00,0.475,0.108,0
2023-03-20 20:20:00,0.133,0.192,0
2023-03-20 20:24:00,0.508,0.200,0
2023-03-20 20:28:00,0.167,0.275,0
2023-03-20 20:32:00,0.0917,0.0667,0
2023-03-20 20:36:00,0.508,0.200,0
2023-03-20 20:40:00,0.150,0.225,0
2023-03-20 20:44:00,0.500,0.200,0
2023-03-20 20:48:00,0.175,0.292,0
2023-03-20 20:52:00,0.125,0.158,0
2023-03-20 20:56:00,0.492,0.167,0
2023-03-20 21:00:00,0.133,0.192,0
2023-03-20 21:04:00,0.117,0.125,0
2023-03-20 21:08:00,0.550,0.317,0
2023-03-20 21:12:00,0.117,0.158,0
2023-03-20 21:16:00,0.500,0.183,0
2023-03-20 21:20:00,0.117,0.133,0
2023-03-20 21:24:00,0.133,0.183,0
2023-03-20 21:28:00,0.550,0.333,0
2023-03-20 21:32:00,0.133,0.175,0
2023-03-20 21:36:00,0.483,0.125,0
2023-03-20 21:40:00,0.150,0.225,0
2023-03-20 21:44:00,0.125,0.183,0
2023-03-20 21:48:00,0.558,0.350,0
2023-03-20 21:52:00,0.100,0.0833,0
2023-03-20 21:56:00,0.150,0.217,0
2023-03-20 22:00:00,0.517,0.225,0
2023-03-20 22:04:00,0.142,0.200,0
2023-03-20 22:08:00,0.517,0.225,0
2023-03-20 22:12:00,0.117,0.158,0
2023-03-20 22:16:00,0.142,0.200,0
2023-03-20 22:20:00,0.500,0.192,0
2023-03-20 22:24:00,0.108,0.108,0
2023-03-20 22:28:00,0.533,0.275,0
2023-03-20 22:32:00,0.108,0.125,0
2023-03-20 22:36:00,0.142,0.200,0
2023-03-20 22:40:00,0.492,0.150,0
2023-03-20 22:44:00,0.133,0.200,0
2023-03-20 22:48:00,0.192,0.350,0
2023-03-20 22:52:00,0.500,0.175,0
2023-03-20 22:56:00,0.117,0.125,0
2023-03-20 23:00:00,0.508,0.208,0
2023-03-20 23:04:00,0.150,0.217,0
2023-03-20 23:08:00,0.175,0.300,0
2023-03-20 23:12:00,0.475,0.100,0
2023-03-20 23:16:00,0.125,0.183,0
2023-03-20 23:20:00,0.142,0.208,0
2023-03-20 23:24:00,0.500,0.183,0
2023-03-20 23:28:00,0.150,0.217,0
2023-03-20 23:32:00,0.475,0.125,0
2023-03-20 23:36:00,0.142,0.200,0
2023-03-20 23:40:00,0.142,0.208,0
2023-03-20 23:44:00,0.467,0.108,0
2023-03-20 23:48:00,0.183,0.333,0
2023-03-20 23:52:00,0.500,0.175,0
2023-03-20 23:56:00,0.142,0.200,0
2023-03-21 00:00:00,0.125,0.150,0
2023-03-21 00:04:00,0.508,0.200,0
2023-03-21 00:08:00,0.167,0.283,0
2023-03-21 00:12:00,0.125,0.158,0
2023-03-21 00:16:00,0.475,0.125,0
2023-03-21 00:20:00,0.150,0.225,0
2023-03-21 00:24:00,0.508,0.200,0
2023-03-21 00:28:00,0.158,0.258,0
2023-03-21 00:32:00,0.100,0.0833,0
2023-03-21 00:36:00,0.500,0.183,0
2023-03-21 00:40:00,0.150,0.225,0
2023-03-21 00:44:00,0.483,0.167,0
2023-03-21 00:48:00,0.167,0.275,0
2023-03-21 00:52:00,0.125,0.158,0
2023-03-21 00:56:00,0.500,0.183,0
2023-03-21 01:00:00,0.142,0.208,0
2023-03-21 01:04:00,0.100,0.0917,0
2023-03-21 01:08:00,0.525,0.267,0
2023-03-21 01:12:00,0.117,0.142,0
2023-03-21 01:16:00,0.492,0.183,0
2023-03-21 01:20:00,0.125,0.150,0
2023-03-21 01:24:00,0.133,0.183,0
2023-03-21 01:28:00,0.533,0.275,0
2023-03-21 01:32:00,0.108,0.125,0
2023-03-21 01:36:00,0.475,0.108,0
2023-03-21 01:40:00,0.142,0.208,0
2023-03-21 01:44:00,0.133,0.200,0
2023-03-21 01:48:00,0.533,0.300,0
2023-03-21 01:52:00,0.100,0.0833,0
2023-03-21 01:56:00,0.125,0.167,0
2023-03-21 02:00:00,1.06,0.208,0
2023-03-21 02:04:00,0.133,0.183,0
2023-03-21 02:08:00,0.150,0.225,0
2023-03-21 02:12:00,0.500,0.175,0
2023-03-21 02:16:00,0.125,0.183,0
2023-03-21 02:20:00,0.517,0.225,0
2023-03-21 02:24:00,0.117,0.125,0
2023-03-21 02:28:00,0.158,0.258,0
2023-03-21 02:32:00,0.483,0.142,0
2023-03-21 02:36:00,0.142,0.200,0
2023-03-21 02:40:00,0.125,0.150,0
2023-03-21 02:44:00,0.508,0.200,0
2023-03-21 02:48:00,0.183,0.350,0
2023-03-21 02:52:00,0.492,0.158,0
2023-03-21 02:56:00,0.108,0.108,0
2023-03-21 03:00:00,0.142,0.208,0
2023-03-21 03:04:00,0.500,0.183,0
2023-03-21 03:08:00,0.167,0.283,0
2023-03-21 03:12:00,0.475,0.100,0
2023-03-21 03:16:00,0.142,0.217,0
2023-03-21 03:20:00,0.150,0.225,0
2023-03-21 03:24:00,0.508,0.200,0
2023-03-21 03:28:00,0.150,0.242,0
2023-03-21 03:32:00,0.117,0.142,0
2023-03-21 03:36:00,0.492,0.167,0
2023-03-21 03:40:00,0.142,0.208,0
2023-03-21 03:44:00,0.475,0.108,0
2023-03-21 03:48:00,0.183,0.350,0
2023-03-21 03:52:00,0.125,0.158,0
2023-03-21 03:56:00,0.508,0.200,0
2023-03-21 04:00:00,0.133,0.167,0
2023-03-21 04:04:00,0.142,0.200,0
2023-03-21 04:08:00,1.09,0.300,0
2023-03-21 04:12:00,0.125,0.158,0
2023-03-21 04:16:00,0.108,0.125,0
2023-03-21 04:20:00,0.517,0.225,0
2023-03-21 04:24:00,0.133,0.183,0
2023-03-21 04:28:00,0.525,0.258,0
2023-03-21 04:32:00,0.100,0.0833,0
2023-03-21 04:36:00,0.125,0.167,0
2023-03-21 04:40:00,0.517,0.225,0
2023-03-21 04:44:00,0.150,0.217,0
2023-03-21 04:48:00,0.517,0.258,0
2023-03-21 04:52:00,0.125,0.158,0
2023-03-21 04:56:00,0.142,0.200,0
2023-03-21 05:00:00,0.517,0.225,0
2023-03-21 05:04:00,0.108,0.108,0
2023-03-21 05:08:00,0.183,0.317,0
2023-03-21 05:12:00,0.483,0.142,0
2023-03-21 05:16:00,0.117,0.167,0
2023-03-21 05:20:00,0.467,0.100,0
2023-03-21 05:24:00,0.133,0.183,0
2023-03-21 05:28:00,0.175,0.292,0
2023-03-21 05:32:00,0.500,0.175,0
2023-03-21 05:36:00,0.117,0.125,0
2023-03-21 05:40:00,0.517,0.225,0
2023-03-21 05:44:00,0.142,0.200,0
2023-03-21 05:48:00,0.183,0.350,0
2023-03-21 05:52:00,0.483,0.117,0
2023-03-21 05:56:00,0.142,0.200,0
2023-03-21 06:00:00,0.150,0.225,0
2023-03-21 06:04:00,0.500,0.183,0
2023-03-21 06:08:00,0.150,0.233,0
2023-03-21 06:12:00,0.500,0.175,0
2023-03-21 06:16:00,0.133,0.183,0
2023-03-21 06:20:00,0.133,0.208,0
2023-03-21 06:24:00,0.483,0.125,0
2023-03-21 06:28:00,0.167,0.275,0
2023-03-21 06:32:00,0.500,0.175,0
2023-03-21 06:36:00,0.133,0.183,0
2023-03-21 06:40:00,0.125,0.150,0
2023-03-21 06:44:00,0.508,0.200,0
2023-03-21 06:48:00,0.183,0.350,0
2023-03-21 06:52:00,0.500,0.175,0
2023-03-21 06:56:00,0.117,0.125,0
2023-03-21 07:00:00,0.150,0.225,0
2023-03-21 07:04:00,0.517,0.217,0
2023-03-21 07:08:00,0.175,0.300,0
2023-03-21 07:12:00,0.108,0.100,0
2023-03-21 07:16:00,0.500,0.183,0
2023-03-21 07:20:00,0.125,0.192,0
2023-03-21 07:24:00,0.500,0.183,0
2023-03-21 07:28:00,0.142,0.200,0
2023-03-21 07:32:00,0.125,0.158,0
2023-03-21 07:36:00,0.500,0.183,0
2023-03-21 07:40:00,0.142,0.208,0
2023-03-21 07:44:00,0.483,0.125,0
2023-03-21 07:48:00,0.183,0.350,0
2023-03-21 07:52:00,0.133,0.175,0
2023-03-21 07:56:00,0.500,0.183,0
2023-03-21 08:00:00,0.125,0.150,0
2023-03-21 08:04:00,0.133,0.183,0
2023-03-21 08:08:00,0.542,0.300,0
2023-03-21 08:12:00,0.133,0.175,0
2023-03-21 08:16:00,0.483,0.125,0
2023-03-21 08:20:00,0.142,0.225,0
2023-03-21 08:24:00,0.133,0.183,0
2023-03-21 08:28:00,0.533,0.275,0
2023-03-21 08:32:00,0.117,0.117,0
2023-03-21 08:36:00,0.492,0.167,0
2023-03-21 08:40:00,0.150,0.225,0
2023-03-21 08:44:00,0.142,0.200,0
2023-03-21 08:48:00,0.533,0.275,0
2023-03-21 08:52:00,0.125,0.175,0
2023-03-21 08:56:00,0.150,0.217,0
2023-03-21 09:00:00,1.06,0.208,0
2023-03-21 09:04:00,0.108,0.108,0
2023-03-21 09:08:00,0.167,0.283,0
2023-03-21 09:12:00,0.492,0.158,0
2023-03-21 09:16:00,0.133,0.183,0
2023-03-21 09:20:00,0.492,0.167,0
2023-03-21 09:24:00,0.125,0.167,0
2023-03-21 09:28:00,0.175,0.317,0
2023-03-21 09:32:00,0.500,0.175,0
2023-03-21 09:36:00,0.108,0.108,0
2023-03-21 09:40:00,0.150,0.225,0
2023-03-21 09:44:00,0.500,0.183,0
2023-03-21 09:48:00,0.183,0.333,0
2023-03-21 09:52:00,0.467,0.100,0
2023-03-21 09:56:00,0.133,0.183,0
2023-03-21 10:00:00,0.142,0.208,0
2023-03-21 10:04:00,1.06,0.200,0
2023-03-21 10:08:00,0.142,0.208,0
2023-03-21 10:12:00,0.125,0.158,0
2023-03-21 10:16:00,0.492,0.167,0
2023-03-21 10:20:00,0.133,0.208,0
2023-03-21 10:24:00,0.475,0.108,0
2023-03-21 10:28:00,0.167,0.275,0
2023-03-21 10:32:00,0.125,0.158,0
2023-03-21 10:36:00,0.508,0.200,0
2023-03-21 10:40:00,0.125,0.150,0
2023-03-21 10:44:00,0.133,0.183,0
2023-03-21 10:48:00,0.550,0.333,0
2023-03-21 10:52:00,0.0917,0.100,0
2023-03-21 10:56:00,0.467,0.0917,0
2023-03-21 11:00:00,0.150,0.225,0
2023-03-21 11:04:00,0.142,0.200,0
2023-03-21 11:08:00,0.533,0.283,0
2023-03-21 11:12:00,0.108,0.100,0
2023-03-21 11:16:00,0.508,0.200,0
2023-03-21 11:20:00,0.142,0.208,0
2023-03-21 11:24:00,0.142,0.242,0
2023-03-21 11:28:00,0.508,0.200,0
2023-03-21 11:32:00,0.133,0.175,0
2023-03-21 11:36:00,0.133,0.183,0
2023-03-21 11:40:00,0.517,0.225,0
2023-03-21 11:44:00,0.117,0.125,0
2023-03-21 11:48:00,0.542,0.317,0
2023-03-21 11:52:00,0.125,0.175,0
2023-03-21 11:56:00,0.150,0.217,0
2023-03-21 12:00:00,0.492,0.150,0
2023-03-21 12:04:00,0.133,0.183,0
2023-03-21 12:08:00,0.542,0.300,0
2023-03-21 12:12:00,0.133,0.175,0
2023-03-21 12:16:00,0.108,0.108,0
2023-03-21 12:20:00,0.508,0.208,0
2023-03-21 12:24:00,0.117,0.167,0
2023-03-21 12:28:00,0.167,0.275,0
2023-03-21 12:32:00,0.475,0.100,0
2023-03-21 12:36:00,0.142,0.200,0
2023-03-21 12:40:00,0.508,0.208,0
2023-03-21 12:44:00,0.142,0.200,0
2023-03-21 12:48:00,0.158,0.258,0
2023-03-21 12:52:00,1.03,0.158,0
2023-03-21 12:56:00,0.133,0.183,0
2023-03-21 13:00:00,0.150,0.225,0
2023-03-21 13:04:00,0.475,0.108,0
2023-03-21 13:08:00,0.158,0.258,0
2023-03-21 13:12:00,0.125,0.158,0
2023-03-21 13:16:00,0.508,0.200,0
2023-03-21 13:20:00,0.108,0.117,0
2023-03-21 13:24:00,0.492,0.183,0
2023-03-21 13:28:00,0.167,0.275,0
2023-03-21 13:32:00,0.117,0.142,0
2023-03-21 13:36:00,0.475,0.108,0
2023-03-21 13:40:00,0.167,0.283,0
2023-03-21 13:44:00,0.125,0.167,0
2023-03-21 13:48:00,0.542,0.317,0
2023-03-21 13:52:00,0.108,0.100,0
2023-03-21 13:56:00,0.400,0.183,0
2023-03-21 14:00:00,0.783,0.208,0
2023-03-21 14:04:00,0.133,0.183,0
2023-03-21 14:08:00,0.542,0.317,0
2023-03-21 14:12:00,0.142,0.192,0
2023-03-21 14:16:00,0.142,0.200,0
2023-03-21 14:20:00,0.508,0.208,0
2023-03-21 14:24:00,0.108,0.125,0
2023-03-21 14:28:00,0.525,0.258,0
2023-03-21 14:32:00,0.133,0.175,0
2023-03-21 14:36:00,0.142,0.200,0
2023-03-21 14:40:00,0.475,0.117,0
2023-03-21 14:44:00,0.133,0.183,0
2023-03-21 14:48:00,0.192,0.350,0
2023-03-21 14:52:00,0.225,0.175,0
2023-03-21 14:56:00,0.108,0.125,0
2023-03-21 15:00:00,0.158,0.242,0
2023-03-21 15:04:00,0.133,0.183,0
2023-03-21 15:08:00,0.175,0.300,0
2023-03-21 15:12:00,0.100,0.0833,0
2023-03-21 15:16:00,0.133,0.183,0
2023-03-21 15:20:00,0.142,0.208,0
2023-03-21 15:24:00,0.142,0.217,0
2023-03-21 15:28:00,0.158,0.258,0
2023-03-21 15:32:00,0.125,0.158,0
2023-03-21 15:36:00,0.133,0.183,0
2023-03-21 15:40:00,0.150,0.225,0
2023-03-21 15:44:00,0.117,0.125,0
2023-03-21 15:48:00,0.200,0.367,0
2023-03-21 15:52:00,0.125,0.158,0
2023-03-21 15:56:00,0.133,0.200,0
2023-03-21 16:00:00,0.117,0.133,0
2023-03-21 16:04:00,0.125,0.167,0
2023-03-21 16:08:00,0.133,0.400,0.158
2023-03-21 16:12:00,0.192,0.375,0
2023-03-21 16:16:00,0.100,0.100,0
2023-03-21 16:20:00,0.600,0.283,0.0833
2023-03-21 16:24:00,0.133,0.175,0
2023-03-21 16:28:00,0.142,0.217,0
2023-03-21 16:32:00,0.492,0.142,0
2023-03-21 16:36:00,0.125,0.175,0
2023-03-21 16:40:00,0.525,0.250,0
2023-03-21 16:44:00,0.142,0.200,0
2023-03-21 16:48:00,0.158,0.250,0
2023-03-21 16:52:00,0.508,0.200,0
2023-03-21 16:56:00,0.142,0.192,0
2023-03-21 17:00:00,0.158,0.250,0
2023-03-21 17:04:00,0.483,0.125,0
2023-03-21 17:08:00,0.150,0.250,0
2023-03-21 17:12:00,0.517,0.225,0
2023-03-21 17:16:00,0.133,0.175,0
2023-03-21 17:20:00,0.142,0.192,0
2023-03-21 17:24:00,0.508,0.200,0
2023-03-21 17:28:00,0.158,0.250,0
2023-03-21 17:32:00,0.508,0.200,0
2023-03-21 17:36:00,0.100,0.100,0
2023-03-21 17:40:00,0.167,0.267,0
2023-03-21 17:44:00,0.508,0.200,0
2023-03-21 17:48:00,0.183,0.325,0
2023-03-21 17:52:00,0.117,0.125,0
2023-03-21 17:56:00,0.500,0.175,0
2023-03-21 18:00:00,0.158,0.250,0
2023-03-21 18:04:00,0.517,0.217,0
2023-03-21 18:08:00,0.125,0.175,0
2023-03-21 18:12:00,0.150,0.225,0
2023-03-21 18:16:00,0.500,0.175,0
2023-03-21 18:20:00,0.150,0.233,0
2023-03-21 18:24:00,0.483,0.125,0
2023-03-21 18:28:00,0.167,0.267,0
2023-03-21 18:32:00,0.142,0.200,0
2023-03-21 18:36:00,0.492,0.175,0
2023-03-21 18:40:00,0.133,0.175,0
2023-03-21 18:44:00,0.142,0.200,0
2023-03-21 18:48:00,0.550,0.325,0
2023-03-21 18:52:00,0.150,0.217,0
2023-03-21 18:56:00,0.475,0.100,0
2023-03-21 19:00:00,0.158,0.250,0

